영화제목,평점,장르,국가,러닝타임
테이큰	(74),9.2,"액션, 범죄, 스릴러, 드라마",프랑스,93분
말아톤,9.2,드라마,한국,115분
빽	투	더	퓨쳐	2,9.2,"SF, 코미디",미국,107분
인셉션	(46),9.2,"액션, 모험, SF, 스릴러","미국, 영국",147분
해피	투게더,9.2,드라마,홍콩,97분
48미터,9.2,드라마,한국,97분
타이타닉	(62),9.2,"멜로/로맨스, 드라마",미국,195분
미이라,9.2,"모험, 판타지, 액션",미국,120분
도망자,9.2,"액션, 모험, 범죄",미국,130분
JFK,9.19,"범죄, 드라마, 미스터리",미국,189분
하치	이야기,9.19,"가족, 드라마",미국,107분
과속스캔들,9.19,코미디,한국,108분
일	포스티노,9.19,"드라마, 멜로/로맨스","이탈리아, 프랑스, 벨기에",116분
벤허,9.19,"드라마, 액션, 멜로/로맨스",미국,210분
천장지구,9.19,"액션, 드라마, 멜로/로맨스",홍콩,90분
파수꾼,9.19,드라마,한국,117분
맨	오브	오너,9.16,드라마,미국,128분
할머니는	일학년,9.16,드라마,한국,103분
투캅스	3,9.15,"액션, 코미디",한국,96분
크림슨	타이드,9.15,"액션, 드라마, 스릴러",미국,116분
프레데터,9.15,"액션, 공포, SF",미국,105분
네고시에이터,9.15,"액션, 범죄, 스릴러","미국, 독일",139분
분노의	질주:	더	세븐,9.15,"액션, 범죄, 스릴러",미국,138분
에이리언,9.15,"공포, SF",미국,117분
아버지의	이름으로,9.15,"드라마, 스릴러","아일랜드, 영국",133분
헤드윅,9.14,"드라마, 코미디, 뮤지컬",미국,95분
히트,9.14,"범죄, 스릴러, 액션",미국,171분
용서받지	못한	자,9.14,서부,미국,131분
피터팬,9.14,"가족, 판타지, 모험",미국,105분
태극기	휘날리며,9.14,"전쟁, 드라마",한국,145분
즐거운	인생,9.14,코미디,한국,112분
아는	여자,9.13,코미디,한국,107분
제리	맥과이어	(78),9.13,"드라마, 멜로/로맨스",미국,138분
스텝	업	3D,9.13,"드라마, 멜로/로맨스",미국,107분
플래툰,9.13,"전쟁, 드라마",미국,120분
가디언즈,9.13,"애니메이션, 모험",미국,97분
스탠	바이	미,9.13,"드라마, 모험",미국,87분
사랑의	블랙홀	(22),9.13,"멜로/로맨스, 코미디, 판타지",미국,101분
국가대표,9.13,"드라마, 코미디",한국,137분
정무문,9.13,"액션, 드라마",홍콩,106분
귀를	기울이면,9.13,"애니메이션, 가족, 멜로/로맨스",일본,111분
클릭,9.13,"코미디, 드라마, 판타지",미국,107분
"그	시절,	우리가	좋아했던	소녀",9.12,"멜로/로맨스, 드라마",대만,107분
스타워즈	에피소드	5	-	제국의	역습	(26),9.12,"SF, 액션, 판타지",미국,124분
사랑과	영혼,9.12,"멜로/로맨스, 판타지",미국,120분
뱀파이어와의	인터뷰,9.12,"공포, 드라마",미국,123분
패치	아담스	(94),9.12,"코미디, 드라마",미국,115분
호로비츠를	위하여,9.12,드라마,한국,108분
물랑	루즈	(42),9.12,"뮤지컬, 멜로/로맨스",미국,125분
248	늑대아이,9.12,"애니메이션, 판타지",일본,117분
써니,9.11,"코미디, 드라마",한국,124분
철가방	우수氏,9.11,드라마,한국,100분
혐오스런	마츠코의	일생,9.11,"코미디, 뮤지컬",일본,129분
블러드	다이아몬드	(62),9.11,"모험, 드라마","미국, 독일",142분
브레이크다운,9.11,"액션, 스릴러",미국,95분
고스트	메신저	극장판,9.11,"애니메이션, SF",한국,78분
짱구는	못말려	극장판:	정면승부!	로봇아빠의	역습,9.11,"애니메이션, 코미디",일본,97분
카우보이	비밥	-	천국의	문,9.11,"애니메이션, 액션, SF, 코미디",일본,116분
와이키키	브라더스,9.11,드라마,한국,109분
그래도	내가	하지	않았어,9.11,드라마,일본,143분
원스	어폰	어	타임	인	아메리카,9.11,"액션, 느와르",미국,251분
웨딩	드레스,9.11,드라마,한국,109분
